job_type,average_salary
Food Scientists and Technologists,"85,730"
"Food Servers, Nonrestaurant","31,940"
Food Service Managers,"67,130"
"Foreign Language and Literature Teachers, Postsecondary","83,300"
Forensic Science Technicians,"69,260"
Forest and Conservation Technicians,"45,000"
Forest and Conservation Workers,"36,010"
Forest Fire Inspectors and Prevention Specialists,"56,780"
"Forest, Conservation, and Logging Workers","46,210"
Foresters,"68,090"
"Forestry and Conservation Science Teachers, Postsecondary","98,160"
"Forging Machine Setters, Operators, and Tenders, Metal and Plastic","46,940"
"Forming Machine Setters, Operators, and Tenders, Metal and Plastic","44,580"
Foundry Mold and Coremakers,"42,000"
Fundraisers,"66,670"
Fundraising Managers,"124,450"
Funeral Attendants,"34,340"
Funeral Home Managers,"84,770"
Funeral Service Workers,"45,010"
"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders","46,180"
Furniture Finishers,"39,880"
Gambling and Sports Book Writers and Runners,"32,310"
Gambling Cage Workers,"33,370"
Gambling Change Persons and Booth Cashiers,"32,950"
Gambling Dealers,"34,350"
Gambling Managers,"95,830"
"Gambling Service Workers, All Other","34,340"
Gambling Services Workers,"34,170"
Gambling Surveillance Officers and Gambling Investigators,"39,290"
Gas Compressor and Gas Pumping Station Operators,"61,500"
Gas Plant Operators,"78,430"
General and Operations Managers,"122,860"
General Internal Medicine Physicians,"225,270"
Genetic Counselors,"93,120"
Geographers,"88,960"
"Geography Teachers, Postsecondary","87,880"
"Geological Technicians, Except Hydrologic Technicians","60,810"
"Geoscientists, Except Hydrologists and Geographers","104,560"
Glaziers,"55,160"
"Graders and Sorters, Agricultural Products","32,990"
Graphic Designers,"64,500"
"Grinding and Polishing Workers, Hand","38,770"
"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic","42,050"
Grounds Maintenance Workers,"38,100"
"Grounds Maintenance Workers, All Other","43,750"
"Hairdressers, Hairstylists, and Cosmetologists","38,910"
Hazardous Materials Removal Workers,"51,620"
"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors","103,570"
Health Education Specialists,"66,710"
